Symbol,marketcap
AABA,43218280579
AAL,16960013122
AAME,57620563
AAOI,305295383
AAON,2197347571
AAPL,815601981600
AAWW,1507268258
AAXJ,4621320000
AAXN,3278115218
ABAC,14165099
ABCB,1968397555
ABDC,94350293
ABEO,310200824
ABEOW,0
ABIL,6889593
ABIO,6371649
ABMD,15897255196
ABTX,835539589
ABUS,210258721
ACAD,2867959592
ACBI,495692212
ACER,237351047
ACET,7845238
ACGL,12999291138
ACGLO,0
ACGLP,0
ACHC,2444694386
ACHN,346540425
ACHV,22179640
ACIA,2242577492
ACIU,293027702
ACIW,3670755764
ACLS,716949180
ACMR,185483323
ACNB,279726994
ACOR,614929323
ACRS,275909927
ACRX,198103270
ACST,78909853
ACT,13798895
ACTG,158845821
ACWI,10024960000
ACWX,3740330000
ADAP,477886952
ADBE,126272239393
ADES,240182510
ADI,39112544042
ADIL,27576000
ADILW,0
ADMA,201627907
ADMP,149913605
ADMS,303697772
ADOM,31638547
ADP,66729750706
ADRA,18446040
ADRD,37348850
ADRE,135890740
ADRO,324762704
ADRU,13461500
ADSK,35372117102
ADTN,695693577
ADUS,908370919
ADVM,232613002
ADXS,25330150
AEGN,668899593
AEHR,32858600
AEIS,1999121517
AEMD,19150110
AERI,1819962745
AETI,7436851
AEY,14194970
AEYE,85297643
AEZS,67900339
AFH,103493530
AFHBL,0
AFIN,1214219244
AFMD,211630649
AGEN,378898643
AGFS,201756840
AGFSW,0
AGIO,3424396869
AGLE,197687441
AGMH,962933434
AGNC,9497873000
AGNCB,8875462161
AGNCN,0
AGND,25703100
AGRX,31499947
AGTC,61761184
AGYS,491648594
AGZD,80852000
AHPI,7786262
AIA,1085475000
AIHS,84108050
AIMC,2182606374
AIMT,1469886582
AINV,1090399791
AIPT,12575013
AIQ,46715661
AIRG,122446681
AIRR,109267551
AIRT,62918034
AKAM,11377820576
AKAO,35651187
AKBA,855616632
AKCA,2440354047
AKER,12320433
AKRX,527067967
AKTS,208195893
AKTX,27462481
ALAC,145869218
ALACR,0
ALACU,0
ALACW,0
ALBO,316843994
ALCO,227466235
ALDR,980486897
ALDX,213958269
ALGN,20315232930
ALGR,188312800
ALGRR,0
ALGRU,0
ALGRW,0
ALGT,2274978896
ALIM,74283611
ALJJ,69968640
ALKS,5194446569
ALLK,1586820063
ALLO,3774466588
ALLT,252527144
ALNA,136816631
ALNY,8300918407
ALOT,132937421
ALPN,123244409
ALQA,11061514
ALRM,3124523927
ALRN,23745045
ALSK,95202006
ALT,24602281
ALTM,2651423129
ALTR,2326463505
ALTY,0
ALXN,28990682797
ALYA,142794021
AMAG,536750848
AMAL,583961732
AMAT,37610559232
AMBA,1305758188
AMBC,904458746
AMBCW,0
AMCA,11096000
AMCI,0
AMCIU,0
AMCIW,0
AMCN,27914937
AMCX,3604327168
AMD,24489080766
AMED,4108527095
AMEH,681351974
AMGN,119478608250
AMKR,2237237837
AMMA,4050058
AMNB,317681152
AMOT,394975602
AMPH,1112816993
AMR,356883690
AMRB,82017992
AMRH,13193281
AMRHW,0
AMRK,88736899
AMRN,6483349495
AMRS,362633491
AMRWW,0
AMSC,343970221
AMSF,1214008740
AMSWA,360335185
AMTB,690496170
AMTBB,528991750
AMTD,31940719215
AMTX,19462445
AMWD,1478290032
AMZN,801426987208
ANAB,1802788841
ANAT,4114549115
ANCX,497661803
ANDAU,0
ANDE,1208506400
ANGI,8256336000
ANGO,854155669
ANIK,482336851
ANIP,715724676
ANIX,104371148
ANSS,14663111959
ANY,5676015
AOBC,699201851
AOSL,272202973
APDN,25089819
APDNW,0
APEI,547418286
APEN,76846217
APLS,799769360
APM,445120023
APOG,1015559646
APOP,7433642
APOPW,0
APPF,2416032245
APPN,2265413006
APPS,251425664
APRI,6199629
APTO,75169997
APTX,200984064
APVO,37405802
APWC,32752616
APYX,222463564
AQB,40162906
AQMS,129844066
AQST,161625359
AQXP,60137975
ARAV,59823834
ARAY,464003976
ARCB,950050694
ARCC,7434640608
ARCE,1301257989
ARCI,3567833
ARCT,52196660
ARCW,24750447
ARDM,5833747
ARDS,70511386
ARDX,168384576
AREX,89790791
ARGX,4560410090
ARKR,67934694
ARLP,2440219485
ARNA,2483662342
AROW,518689275
ARPO,115675811
ARQL,364038447
ARRS,5505215595
ARRY,5071283041
ARTNA,371514526
ARTW,9449590
ARTX,92701532
ARVN,622756211
ARWR,1733416031
ARYA,175195313
ARYAU,0
ARYAW,0
ASCMA,7121414
ASET,10680028
ASFI,32089992
ASLN,99995376
ASMB,543893354
ASML,78700166651
ASNA,444233603
ASND,3025921259
ASNS,38078991
ASPS,409519580
ASPU,86543542
ASRT,272380421
ASRV,74001073
ASRVP,0
ASTC,25716203
ASTE,908253675
ASUR,105128553
ASV,29998312
ASYS,69857418
ATAI,26389928
ATAX,406696154
ATEC,63090405
ATHN,5558622675
ATHX,214036249
ATIS,7390856
ATISW,0
ATLC,58892278
ATLO,256774017
ATNI,966230365
ATNX,877647745
ATOM,56977060
ATOS,8582759
ATRA,1761110102
ATRC,1279085311
ATRI,1479962965
ATRO,1132378254
ATRS,507282886
ATSG,1507140672
ATTU,502269496
ATVI,31666604797
ATXI,58992458
AUBN,125567691
AUDC,385278985
AUPH,529246411
AUTL,1159823198
AUTO,43508472
AVAV,1973133638
AVCO,268789964
AVDL,75874629
AVEO,78341624
AVGO,112610404127
AVGR,10122193
AVID,196288924
AVNW,77204837
AVRO,334423945
AVT,4866243210
AVXL,113935546
AWRE,80147820
AWSM,21742241
AXAS,231581291
AXDX,1181532597
AXGN,694564763
AXNX,597809715
AXON,189751506
AXSM,294575048
AXTI,170803387
AY,1959247433
AYTU,14496809
AZPN,7050944943
AZRX,37824340
BABY,954628503
BAND,1044391321
BANF,1867615404
BANFP,26505300
BANR,2237976127
BANX,139964744
BASI,15419838
BATRA,0
BATRK,1508039673
BBBY,2313661384
BBCP,230204702
BBCPW,0
BBGI,122853538
BBH,415877034
BBSI,546422759
BCAC,84097996
BCACR,0
BCACW,0
BCBP,200836960
BCLI,83036020
BCML,252167180
BCNA,2154002
BCOM,171463367
BCOR,1296156749
BCOV,307191196
BCOW,30724320
BCPC,2800086459
BCRX,986769396
BCTF,51812866
BDGE,657102169
BDSI,353458090
BEAT,2212304738
BECN,2572597990
BELFA,284381470
BELFB,302507421
BFC,358856656
BFIN,254764763
BFIT,0
BFRA,284533297
BFST,321744561
BGCP,2067052000
BGFV,84427400
BGNE,8213679610
BGRN,25880000
BHBK,665037357
BHF,5063293035
BHFAL,0
BHTG,31943444
BIB,298878000
BICK,154784055
BIDU,58268868815
BIIB,63995268699
BILI,3761938056
BIMI,59753250
BIOC,5808692
BIOL,46680115
BIOS,440461387
BIQI,18879301
BIS,26555465
BJRI,1037990655
BKCC,460247852
BKEP,77959924
BKEPP,172507301
BKNG,88513600645
BKSC,100804592
BKYI,16913220
BL,2850279914
BLBD,514289646
BLCM,138755709
BLCN,77245522
BLDP,841766664
BLDR,1627947679
BLFS,333920794
BLIN,3213020
BLKB,3737235190
BLMN,2016316431
BLMT,342494434
BLNK,90275743
BLNKW,0
BLPH,39321128
BLRX,59974116
BLUE,7182470053
BMCH,1185560464
BMLP,48433000
BMRA,23787200
BMRC,624375395
BMRN,15646317254
BMTC,824296798
BNCL,1212531537
BND,37373169210
BNDW,98475000
BNDX,12453844528
BNFT,1917632820
BNGO,39930094
BNGOW,0
BNSO,13430055
BNTC,21204927
BOCH,191434480
BOJA,610970655
BOKF,6661995229
BOKFL,0
BOLD,1121463515
BOMN,529746652
BOOM,725857015
BOSC,12661883
BOTJ,64144087
BOTZ,0
BOXL,30414525
BPFH,1011396821
BPMC,3264633855
BPOP,5678752453
BPOPM,0
BPOPN,315120000
BPR,15378238006
BPRAP,0
BPRN,216086409
BPTH,3867521
BPY,8540380480
BRAC,179544087
BRACR,0
BRACW,0
BREW,328908501
BRID,216391675
BRKL,1292133210
BRKR,5919831278
BRKS,2337425496
BRPA,93065650
BRPAR,0
BRPAW,0
BRQS,129861947
BRY,1034519412
BSET,205863787
BSGM,89818841
BSQR,30720812
BSRR,420150632
BSTC,516529525
BSVN,165546875
BTAI,127198281
BTEC,54846198
BURG,7579424
BUSE,1515250514
BVNSC,0
BVSN,6598883
BVXV,33134929
BVXVW,0
BWB,341905033
BWEN,20301668
BWFG,243973051
BWMC,0
BWMCU,0
BYFC,33618188
BYSI,418536834
BZUN,2110768551
CAAS,98729292
CAC,712862308
CACC,8292247922
CACG,58712091
CADC,16809724
CAKE,2154786191
CALA,216172810
CALM,2170264203
CAMP,496757037
CAMT,335555805
CAPR,12989263
CAR,2732639056
CARA,668622531
CARB,799324921
CARG,4650797486
CARO,837588338
CART,59903981
CARV,12945324
CARZ,20622069
CASA,856719708
CASH,977615777
CASI,339722679
CASM,68236411
CASS,784728399
CASY,4936618539
CATB,36729209
CATC,354692398
CATH,0
CATM,1440853500
CATS,175720561
CATY,3183047024
CBAN,138074246
CBAT,29845175
CBAY,674039734
CBFV,140424671
CBIO,99841214
CBLI,15026658
CBLK,855079197
CBMB,54508160
CBMG,330033264
